pattern_id,ticker,ruleset_name,anchor_asof_date,effective_asof_date,max_observed_asof_date,trough_1_date,center_peak_price,trough_2_price,initial_stop,composite_score,triggered,entry_date,entry_price,exit_date,exit_price,exit_reason,r_multiple,trade_pnl_dollars,peak_unrealized_R,drawdown_to_exit_R,days_held,status,forward_bars_available,max_forward_close,max_close_pct_of_peak,days_t2_to_asof
CNC-2025-12-17,CNC,A_minervini_trail_ma,2026-05-22,2026-05-22,2026-05-22,2025-12-17,47.2700,41.5300,41.1147,0.5000,false,,,,,untriggered,,,,,,untriggered,0,,,115
CNC-2025-12-17,CNC,B_fixed_R_multiple,2026-05-22,2026-05-22,2026-05-22,2025-12-17,47.2700,41.5300,41.1147,0.5000,false,,,,,untriggered,,,,,,untriggered,0,,,115
CNC-2025-12-17,CNC,C_close_below_50d,2026-05-22,2026-05-22,2026-05-22,2025-12-17,47.2700,41.5300,41.1147,0.5000,false,,,,,untriggered,,,,,,untriggered,0,,,115
CNC-2025-12-17,CNC,D_minervini_stage2_progression,2026-05-22,2026-05-22,2026-05-22,2025-12-17,47.2700,41.5300,41.1147,0.5000,false,,,,,untriggered,,,,,,untriggered,0,,,115
CNC-2025-12-17,CNC,E_oneil_cup_with_handle_measured_move,2026-05-22,2026-05-22,2026-05-22,2025-12-17,47.2700,41.5300,41.1147,0.5000,false,,,,,untriggered,,,,,,untriggered,0,,,115
CNC-2025-12-17,CNC,F_qullamaggie_momentum_burst,2026-05-22,2026-05-22,2026-05-22,2025-12-17,47.2700,41.5300,41.1147,0.5000,false,,,,,untriggered,,,,,,untriggered,0,,,115
CNC-2026-02-09,CNC,A_minervini_trail_ma,2026-05-22,2026-05-22,2026-05-22,2026-02-09,44.9900,34.4500,34.1055,0.7343,false,,,,,untriggered,,,,,,untriggered,0,,,70
CNC-2026-02-09,CNC,B_fixed_R_multiple,2026-05-22,2026-05-22,2026-05-22,2026-02-09,44.9900,34.4500,34.1055,0.7343,false,,,,,untriggered,,,,,,untriggered,0,,,70
CNC-2026-02-09,CNC,C_close_below_50d,2026-05-22,2026-05-22,2026-05-22,2026-02-09,44.9900,34.4500,34.1055,0.7343,false,,,,,untriggered,,,,,,untriggered,0,,,70
CNC-2026-02-09,CNC,D_minervini_stage2_progression,2026-05-22,2026-05-22,2026-05-22,2026-02-09,44.9900,34.4500,34.1055,0.7343,false,,,,,untriggered,,,,,,untriggered,0,,,70
CNC-2026-02-09,CNC,E_oneil_cup_with_handle_measured_move,2026-05-22,2026-05-22,2026-05-22,2026-02-09,44.9900,34.4500,34.1055,0.7343,false,,,,,untriggered,,,,,,untriggered,0,,,70
CNC-2026-02-09,CNC,F_qullamaggie_momentum_burst,2026-05-22,2026-05-22,2026-05-22,2026-02-09,44.9900,34.4500,34.1055,0.7343,false,,,,,untriggered,,,,,,untriggered,0,,,70
CNC-2026-03-13,CNC,A_minervini_trail_ma,2026-05-22,2026-05-22,2026-05-22,2026-03-13,36.1600,31.8000,31.4820,0.7270,false,,,,,untriggered,,,,,,untriggered,0,,,53
CNC-2026-03-13,CNC,B_fixed_R_multiple,2026-05-22,2026-05-22,2026-05-22,2026-03-13,36.1600,31.8000,31.4820,0.7270,false,,,,,untriggered,,,,,,untriggered,0,,,53
CNC-2026-03-13,CNC,C_close_below_50d,2026-05-22,2026-05-22,2026-05-22,2026-03-13,36.1600,31.8000,31.4820,0.7270,false,,,,,untriggered,,,,,,untriggered,0,,,53
CNC-2026-03-13,CNC,D_minervini_stage2_progression,2026-05-22,2026-05-22,2026-05-22,2026-03-13,36.1600,31.8000,31.4820,0.7270,false,,,,,untriggered,,,,,,untriggered,0,,,53
CNC-2026-03-13,CNC,E_oneil_cup_with_handle_measured_move,2026-05-22,2026-05-22,2026-05-22,2026-03-13,36.1600,31.8000,31.4820,0.7270,false,,,,,untriggered,,,,,,untriggered,0,,,53
CNC-2026-03-13,CNC,F_qullamaggie_momentum_burst,2026-05-22,2026-05-22,2026-05-22,2026-03-13,36.1600,31.8000,31.4820,0.7270,false,,,,,untriggered,,,,,,untriggered,0,,,53
DOW-2025-12-16,DOW,A_minervini_trail_ma,2026-04-21,2026-05-13,2026-05-13,2025-12-16,28.2600,26.5800,26.3142,0.5000,true,2026-05-15,39.0000,2026-05-18,38.5600,close_below_50d,-0.0347,-1.30,0.0327,0.0674,1,closed,7,38.7800,137.2,113
DOW-2025-12-16,DOW,B_fixed_R_multiple,2026-04-21,2026-05-13,2026-05-13,2025-12-16,28.2600,26.5800,26.3142,0.5000,true,2026-05-15,39.0000,2026-05-22,36.0100,open_at_data_tail,-0.2357,-8.84,0.0327,0.2684,5,open,7,38.7800,137.2,113
DOW-2025-12-16,DOW,C_close_below_50d,2026-04-21,2026-05-13,2026-05-13,2025-12-16,28.2600,26.5800,26.3142,0.5000,true,2026-05-15,39.0000,2026-05-18,38.5600,close_below_50d,-0.0347,-1.30,0.0327,0.0674,1,closed,7,38.7800,137.2,113
DOW-2025-12-16,DOW,D_minervini_stage2_progression,2026-04-21,2026-05-13,2026-05-13,2025-12-16,28.2600,26.5800,26.3142,0.5000,true,2026-05-15,39.0000,2026-05-22,36.0100,open_at_data_tail,-0.2357,-8.84,0.0327,0.2684,5,open,7,38.7800,137.2,113
DOW-2025-12-16,DOW,E_oneil_cup_with_handle_measured_move,2026-04-21,2026-05-13,2026-05-13,2025-12-16,28.2600,26.5800,35.8800,0.5000,true,2026-05-15,39.0000,2026-05-22,36.0100,open_at_data_tail,-0.9583,-35.94,0.1330,1.0913,5,open,7,38.7800,137.2,113
DOW-2025-12-16,DOW,F_qullamaggie_momentum_burst,2026-04-21,2026-05-13,2026-05-13,2025-12-16,28.2600,26.5800,26.3142,0.5000,true,2026-05-15,39.0000,2026-05-22,36.1500,momentum_gate_fail,-0.2247,-8.42,0.0327,0.2574,5,closed,7,38.7800,137.2,113
