ticker,detection_date,run_id,hypothesis,bucket,realistic_r,favorable_r,exit_reason,open_at_horizon,entry_bar_ambiguous,entry_bar_weak_close
CNTA,2026-06-05,89,Broad-watch baseline,watch,2.6250,2.6250,horizon_mtm,True,True,False
GTX,2026-06-05,89,Broad-watch baseline,watch,-1.0000,-1.0000,initial_stop,False,True,True
WULF,2026-06-05,89,Broad-watch baseline,watch,-1.0000,-1.0000,initial_stop,False,True,True
XMAX,2026-06-05,89,Broad-watch baseline,watch,-1.0000,-1.0000,initial_stop,False,True,True
CNTA,2026-06-08,90,Broad-watch baseline,watch,2.6250,2.6250,horizon_mtm,True,True,False
TNA,2026-06-08,90,Broad-watch baseline,watch,-1.0000,-1.0000,initial_stop,False,True,True
URTY,2026-06-08,90,Broad-watch baseline,watch,-1.0000,-1.0000,initial_stop,False,True,True
VECO,2026-06-08,90,Broad-watch baseline,watch,2.6640,2.6640,horizon_mtm,True,True,False
WULF,2026-06-08,90,Broad-watch baseline,watch,-1.0000,-1.0000,initial_stop,False,True,True
CNTA,2026-06-09,96,Broad-watch baseline,watch,2.6250,2.6250,horizon_mtm,True,True,False
UNIT,2026-06-09,96,Broad-watch baseline,watch,-1.0000,-1.0000,initial_stop,False,True,False
XMAX,2026-06-09,96,Broad-watch baseline,watch,-1.0000,-1.0000,initial_stop,False,True,True
TNA,2026-06-09,97,Broad-watch baseline,watch,-1.0000,-1.0000,initial_stop,False,True,True
URTY,2026-06-09,97,Broad-watch baseline,watch,-1.0000,-1.0000,initial_stop,False,True,True
VECO,2026-06-09,97,Broad-watch baseline,watch,2.6640,2.6640,horizon_mtm,True,True,False
WULF,2026-06-09,97,Broad-watch baseline,watch,-1.0000,-1.0000,initial_stop,False,True,True
AMN,2026-06-10,98,Broad-watch baseline,watch,-1.0000,-1.0000,initial_stop,False,True,True
PBI,2026-06-10,98,Broad-watch baseline,watch,0.6522,0.6522,horizon_mtm,True,True,True
TNA,2026-06-10,98,Broad-watch baseline,watch,-1.0000,-1.0000,initial_stop,False,True,True
UNIT,2026-06-10,98,Broad-watch baseline,watch,0.0000,0.0000,breakeven_stop,False,True,False
URTY,2026-06-10,98,Broad-watch baseline,watch,-1.0000,-1.0000,initial_stop,False,True,True
