ticker,detection_date,run_id,hypothesis,bucket,realistic_r,favorable_r,exit_reason,open_at_horizon,entry_bar_ambiguous,entry_bar_weak_close
PBI,2026-06-10,98,Broad-watch baseline,watch,0.0797,0.0797,breakeven_stop,False,True,True
TNA,2026-06-10,98,Broad-watch baseline,watch,-1.0000,-1.0000,initial_stop,False,True,True
UNIT,2026-06-10,98,Broad-watch baseline,watch,0.0000,0.0000,breakeven_stop,False,True,False
URTY,2026-06-10,98,Broad-watch baseline,watch,-1.0000,-1.0000,initial_stop,False,True,True
WULF,2026-06-10,98,Broad-watch baseline,watch,0.1133,0.8000,breakeven_stop,False,True,False
XMAX,2026-06-10,98,Broad-watch baseline,watch,-1.0000,-1.0000,initial_stop,False,True,True
AMN,2026-06-11,99,Broad-watch baseline,watch,-1.0000,-1.0000,initial_stop,False,True,True
PBI,2026-06-11,99,Broad-watch baseline,watch,0.4875,0.4875,breakeven_stop,False,True,False
UNIT,2026-06-11,99,Broad-watch baseline,watch,0.0000,0.0000,breakeven_stop,False,True,False
XMAX,2026-06-11,99,Broad-watch baseline,watch,-1.0000,-1.0000,initial_stop,False,True,True
AMN,2026-06-12,100,Broad-watch baseline,watch,-1.0000,-1.0000,initial_stop,False,True,True
CNC,2026-06-12,100,Broad-watch baseline,watch,1.1802,1.1802,horizon_mtm,True,True,False
FROG,2026-06-12,100,Broad-watch baseline,watch,1.6236,1.6236,horizon_mtm,True,True,False
TVTX,2026-06-12,100,Broad-watch baseline,watch,7.8397,7.9428,ma_close_below,False,True,False
UCTT,2026-06-12,100,Broad-watch baseline,watch,1.2592,1.2592,breakeven_stop,False,True,False
XMAX,2026-06-12,100,Broad-watch baseline,watch,-1.0000,-1.0000,initial_stop,False,True,True
AMN,2026-06-15,101,Broad-watch baseline,watch,-1.0000,-1.0000,initial_stop,False,True,True
ARMK,2026-06-15,101,Broad-watch baseline,watch,-1.5658,-1.0000,initial_stop,False,True,True
AVR,2026-06-15,101,Broad-watch baseline,watch,0.1266,0.1266,horizon_mtm,True,True,False
AXGN,2026-06-15,101,Broad-watch baseline,watch,-1.0000,-1.0000,initial_stop,False,True,True
FROG,2026-06-15,101,Broad-watch baseline,watch,1.6236,1.6236,horizon_mtm,True,True,False
HYLN,2026-06-15,101,Broad-watch baseline,watch,-0.5225,-0.4270,initial_stop,False,True,True
TVTX,2026-06-15,101,Broad-watch baseline,watch,4.4739,4.5833,ma_close_below,False,True,False
UBS,2026-06-15,101,Broad-watch baseline,watch,0.0000,0.0000,breakeven_stop,False,True,False
ULCC,2026-06-15,101,Broad-watch baseline,watch,-1.0000,-1.0000,initial_stop,False,True,False
VSTS,2026-06-15,101,Broad-watch baseline,watch,4.0588,4.0588,horizon_mtm,True,True,True
XMAX,2026-06-15,101,Broad-watch baseline,watch,-1.0000,-1.0000,initial_stop,False,True,True
AMN,2026-06-16,104,Broad-watch baseline,watch,-1.0000,-1.0000,initial_stop,False,True,True
ARMK,2026-06-16,104,Broad-watch baseline,watch,1.2585,1.2585,horizon_mtm,True,True,True
AVR,2026-06-16,104,Broad-watch baseline,watch,0.1266,0.1266,horizon_mtm,True,True,False
CNC,2026-06-16,104,Broad-watch baseline,watch,1.1802,1.1802,horizon_mtm,True,True,False
FROG,2026-06-16,104,Broad-watch baseline,watch,1.6236,1.6236,horizon_mtm,True,True,False
LTH,2026-06-16,104,Broad-watch baseline,watch,4.3979,4.3979,horizon_mtm,True,True,True
ULCC,2026-06-16,104,Broad-watch baseline,watch,2.4655,2.4655,horizon_mtm,True,True,False
VSTS,2026-06-16,104,Broad-watch baseline,watch,4.0588,4.0588,horizon_mtm,True,True,True
ALGM,2026-06-17,105,Broad-watch baseline,watch,-1.0000,-1.0000,initial_stop,False,True,False
AMN,2026-06-17,105,Broad-watch baseline,watch,-1.0000,-1.0000,initial_stop,False,True,True
ARMK,2026-06-17,105,Broad-watch baseline,watch,1.2585,1.2585,horizon_mtm,True,True,True
AVR,2026-06-17,105,Broad-watch baseline,watch,0.1266,0.1266,horizon_mtm,True,True,False
AXGN,2026-06-17,105,Broad-watch baseline,watch,-1.0000,-1.0000,initial_stop,False,True,True
CNC,2026-06-17,105,Broad-watch baseline,watch,1.1802,1.1802,horizon_mtm,True,True,False
DAL,2026-06-17,105,Broad-watch baseline,watch,5.7342,5.7342,horizon_mtm,True,True,False
PII,2026-06-17,105,Broad-watch baseline,watch,-1.0000,-1.0000,initial_stop,False,True,True
SEI,2026-06-17,105,Broad-watch baseline,watch,-1.2957,0.0000,breakeven_stop,False,True,False
TNA,2026-06-17,105,Broad-watch baseline,watch,-1.0000,-1.0000,initial_stop,False,True,True
ULCC,2026-06-17,105,Broad-watch baseline,watch,2.4655,2.4655,horizon_mtm,True,True,False
URTY,2026-06-17,105,Broad-watch baseline,watch,-1.0000,-1.0000,initial_stop,False,True,True
VSTS,2026-06-17,105,Broad-watch baseline,watch,4.0588,4.0588,horizon_mtm,True,True,True
CIFR,2026-06-17,106,Broad-watch baseline,watch,-1.2160,-1.0000,initial_stop,False,True,False
MRVI,2026-06-17,106,Broad-watch baseline,watch,-1.0000,-1.0000,initial_stop,False,True,True
TVTX,2026-06-17,106,Broad-watch baseline,watch,2.2159,2.2159,horizon_mtm,True,True,True
ACHV,2026-06-18,107,Broad-watch baseline,watch,0.0000,0.0000,breakeven_stop,False,True,False
ALGM,2026-06-18,107,Broad-watch baseline,watch,-1.0000,-1.0000,initial_stop,False,True,False
AMN,2026-06-18,107,Broad-watch baseline,watch,0.7033,0.7033,horizon_mtm,True,True,True
AMRX,2026-06-18,107,Broad-watch baseline,watch,0.7309,0.7309,horizon_mtm,True,True,True
ARMK,2026-06-18,107,Broad-watch baseline,watch,1.2585,1.2585,horizon_mtm,True,True,True
AVR,2026-06-18,107,Broad-watch baseline,watch,0.1266,0.1266,horizon_mtm,True,True,False
CIFR,2026-06-18,107,Broad-watch baseline,watch,-1.2160,-1.0000,initial_stop,False,True,False
CNC,2026-06-18,107,Broad-watch baseline,watch,1.1802,1.1802,horizon_mtm,True,True,False
DFTX,2026-06-18,107,Broad-watch baseline,watch,13.4685,13.4685,horizon_mtm,True,True,True
LTH,2026-06-18,107,Broad-watch baseline,watch,10.5328,10.5328,horizon_mtm,True,True,False
MRX,2026-06-18,107,Broad-watch baseline,watch,-0.4377,-0.4377,initial_stop,False,True,False
PII,2026-06-18,107,Broad-watch baseline,watch,-1.0000,-1.0000,initial_stop,False,True,True
TNA,2026-06-18,107,Broad-watch baseline,watch,-1.0000,-1.0000,initial_stop,False,True,True
TVTX,2026-06-18,107,Broad-watch baseline,watch,1.4483,1.4483,breakeven_stop,False,True,False
ULCC,2026-06-18,107,Broad-watch baseline,watch,2.4655,2.4655,horizon_mtm,True,True,False
URTY,2026-06-18,107,Broad-watch baseline,watch,-1.0000,-1.0000,initial_stop,False,True,True
VSTS,2026-06-18,107,Broad-watch baseline,watch,4.0588,4.0588,horizon_mtm,True,True,True
WULF,2026-06-18,107,Broad-watch baseline,watch,-2.1074,-1.0000,initial_stop,False,True,True
CVS,2026-06-18,108,Broad-watch baseline,watch,0.0000,0.0000,breakeven_stop,False,True,False
FROG,2026-06-18,108,Broad-watch baseline,watch,1.6236,1.6236,horizon_mtm,True,True,False
TSMX,2026-06-18,108,Broad-watch baseline,watch,-1.1331,-1.0000,initial_stop,False,True,False
UBS,2026-06-18,108,Broad-watch baseline,watch,-1.0000,-1.0000,initial_stop,False,True,True
UDOW,2026-06-18,108,Broad-watch baseline,watch,-1.3268,-1.0000,initial_stop,False,True,True
AMN,2026-06-22,109,Broad-watch baseline,watch,0.7033,0.7033,horizon_mtm,True,True,True
ARMK,2026-06-22,109,Broad-watch baseline,watch,7.9063,7.9063,horizon_mtm,True,True,False
BEN,2026-06-22,109,Broad-watch baseline,watch,-1.0000,-1.0000,initial_stop,False,True,True
CNC,2026-06-22,109,Broad-watch baseline,watch,1.1802,1.1802,horizon_mtm,True,True,False
CVS,2026-06-22,109,Broad-watch baseline,watch,0.0000,0.0000,breakeven_stop,False,True,False
FROG,2026-06-22,109,Broad-watch baseline,watch,1.6236,1.6236,horizon_mtm,True,True,False
MRX,2026-06-22,109,Broad-watch baseline,watch,-1.0000,-1.0000,initial_stop,False,True,False
PII,2026-06-22,109,Broad-watch baseline,watch,-1.0000,-1.0000,initial_stop,False,True,True
UDOW,2026-06-22,109,Broad-watch baseline,watch,-1.3268,-1.0000,initial_stop,False,True,True
ULCC,2026-06-22,109,Broad-watch baseline,watch,2.1333,2.1333,horizon_mtm,True,True,False
VSTS,2026-06-22,109,Broad-watch baseline,watch,4.0588,4.0588,horizon_mtm,True,True,True
DFTX,2026-06-22,110,Broad-watch baseline,watch,6.9658,6.9658,horizon_mtm,True,True,False
ZVRA,2026-06-22,110,Broad-watch baseline,watch,-1.0000,-1.0000,initial_stop,False,True,False
ADEA,2026-06-24,111,Broad-watch baseline,watch,-1.0000,-1.0000,initial_stop,False,True,True
AMDL,2026-06-24,111,Broad-watch baseline,watch,-1.0000,-1.0000,initial_stop,False,True,False
AMN,2026-06-24,111,Broad-watch baseline,watch,0.7033,0.7033,horizon_mtm,True,True,True
ARMK,2026-06-24,111,Broad-watch baseline,watch,7.9063,7.9063,horizon_mtm,True,True,False
CNC,2026-06-24,111,Broad-watch baseline,watch,1.1802,1.1802,horizon_mtm,True,True,False
IMVT,2026-06-24,111,Broad-watch baseline,watch,-1.0000,-1.0000,initial_stop,False,True,True
PBI,2026-06-24,111,Broad-watch baseline,watch,-1.0000,-1.0000,initial_stop,False,True,False
PGNY,2026-06-24,111,Broad-watch baseline,watch,4.2451,4.2451,horizon_mtm,True,True,False
PII,2026-06-24,111,Broad-watch baseline,watch,-1.0000,-1.0000,initial_stop,False,True,True
TNA,2026-06-24,111,Broad-watch baseline,watch,-1.0691,-1.0000,initial_stop,False,True,True
UDOW,2026-06-24,111,Broad-watch baseline,watch,-1.3268,-1.0000,initial_stop,False,True,True
URTY,2026-06-24,111,Broad-watch baseline,watch,-1.0552,-1.0000,initial_stop,False,True,True
VSTS,2026-06-24,111,Broad-watch baseline,watch,4.0588,4.0588,horizon_mtm,True,True,True
AMN,2026-06-25,112,Broad-watch baseline,watch,0.7033,0.7033,horizon_mtm,True,True,True
ARMK,2026-06-25,112,Broad-watch baseline,watch,7.9063,7.9063,horizon_mtm,True,True,False
AXGN,2026-06-25,112,Broad-watch baseline,watch,-1.0000,-1.0000,initial_stop,False,True,False
BEN,2026-06-25,112,Broad-watch baseline,watch,-0.2696,-0.2696,horizon_mtm,True,True,True
CYTK,2026-06-25,112,Broad-watch baseline,watch,-1.0000,-1.0000,initial_stop,False,True,True
DRH,2026-06-25,112,Broad-watch baseline,watch,-1.0000,-1.0000,initial_stop,False,True,False
IMVT,2026-06-25,112,Broad-watch baseline,watch,-1.0000,-1.0000,initial_stop,False,True,True
PBI,2026-06-25,112,Broad-watch baseline,watch,-1.0000,-1.0000,initial_stop,False,True,False
PGNY,2026-06-25,112,Broad-watch baseline,watch,4.2451,4.2451,horizon_mtm,True,True,False
TNA,2026-06-25,112,Broad-watch baseline,watch,-1.0691,-1.0000,initial_stop,False,True,True
UDOW,2026-06-25,112,Broad-watch baseline,watch,-1.3268,-1.0000,initial_stop,False,True,True
ULCC,2026-06-25,112,Broad-watch baseline,watch,0.0000,0.0000,breakeven_stop,False,True,False
URTY,2026-06-25,112,Broad-watch baseline,watch,-1.0552,-1.0000,initial_stop,False,True,True
VSTS,2026-06-25,112,A+ baseline,aplus,17.7777,17.7777,horizon_mtm,True,True,False
ZVRA,2026-06-25,112,Broad-watch baseline,watch,-1.0000,-1.0000,initial_stop,False,True,False
AMN,2026-06-26,113,Broad-watch baseline,watch,0.7033,0.7033,horizon_mtm,True,True,True
ARMK,2026-06-26,113,Broad-watch baseline,watch,7.9063,7.9063,horizon_mtm,True,True,False
AXGN,2026-06-26,113,Broad-watch baseline,watch,-1.0000,-1.0000,initial_stop,False,True,False
BBGI,2026-06-26,113,Broad-watch baseline,watch,0.5463,0.5463,breakeven_stop,False,True,False
BEN,2026-06-26,113,Broad-watch baseline,watch,-0.2696,-0.2696,horizon_mtm,True,True,True
CPRX,2026-06-26,113,Broad-watch baseline,watch,0.3333,0.3333,horizon_mtm,True,True,False
CXW,2026-06-26,113,Broad-watch baseline,watch,0.2049,0.2049,horizon_mtm,True,True,False
IMVT,2026-06-26,113,Broad-watch baseline,watch,-0.2768,-0.2768,horizon_mtm,True,True,True
PGNY,2026-06-26,113,Broad-watch baseline,watch,18.8847,18.8847,horizon_mtm,True,True,False
TNA,2026-06-26,113,Broad-watch baseline,watch,-1.0000,-1.0000,initial_stop,False,True,True
UDOW,2026-06-26,113,Broad-watch baseline,watch,0.2823,0.2823,horizon_mtm,True,True,True
URTY,2026-06-26,113,Broad-watch baseline,watch,-1.0000,-1.0000,initial_stop,False,True,True
AMN,2026-06-29,114,Broad-watch baseline,watch,1.1239,1.1239,horizon_mtm,True,True,True
ARMK,2026-06-29,114,Broad-watch baseline,watch,0.0612,0.0612,horizon_mtm,True,True,False
ASX,2026-06-29,114,Broad-watch baseline,watch,-1.0000,-1.0000,initial_stop,False,True,False
BEN,2026-06-29,114,Broad-watch baseline,watch,-0.2696,-0.2696,horizon_mtm,True,True,True
TNA,2026-06-29,114,Broad-watch baseline,watch,-1.0000,-1.0000,initial_stop,False,True,True
UDOW,2026-06-29,114,Broad-watch baseline,watch,0.2823,0.2823,horizon_mtm,True,True,True
URTY,2026-06-29,114,Broad-watch baseline,watch,-1.0000,-1.0000,initial_stop,False,True,True
AMN,2026-06-30,115,Broad-watch baseline,watch,1.1239,1.1239,horizon_mtm,True,True,True
AXGN,2026-06-30,115,Broad-watch baseline,watch,-1.0000,-1.0000,initial_stop,False,True,False
BEN,2026-06-30,115,Broad-watch baseline,watch,-0.2696,-0.2696,horizon_mtm,True,True,True
TNA,2026-06-30,115,Broad-watch baseline,watch,-1.0000,-1.0000,initial_stop,False,True,True
UDOW,2026-06-30,115,Broad-watch baseline,watch,0.2823,0.2823,horizon_mtm,True,True,True
URTY,2026-06-30,115,Broad-watch baseline,watch,-1.0000,-1.0000,initial_stop,False,True,True
AMN,2026-07-01,116,A+ baseline,aplus,1.1239,1.1239,horizon_mtm,True,True,True
BEN,2026-07-01,116,Broad-watch baseline,watch,-0.2696,-0.2696,horizon_mtm,True,True,True
FTRE,2026-07-01,116,Broad-watch baseline,watch,-1.0000,-1.0000,initial_stop,False,True,True
TNA,2026-07-01,116,Broad-watch baseline,watch,-1.0000,-1.0000,initial_stop,False,True,True
UDOW,2026-07-01,116,Broad-watch baseline,watch,0.2722,0.2722,horizon_mtm,True,True,True
URTY,2026-07-01,116,Broad-watch baseline,watch,-1.0000,-1.0000,initial_stop,False,True,True
