ticker,date,entry_target,initial_stop,next_earnings_date,absent_earnings_data
CENX,2024-04-30,18.639999389648438,15.869999885559082,2024-05-01,0
VEL,2024-05-16,18.809999465942383,15.930000305175781,,1
VEL,2024-05-17,18.809999465942383,15.960000038146973,,1
STOK,2024-05-30,16.663999557495117,11.010000228881836,,1
VRT,2024-05-30,109.27100372314453,87.36000061035156,2024-07-24,0
STOK,2024-06-10,16.690000534057617,11.418999671936035,,1
DYN,2024-06-14,35.97999954223633,27.040000915527344,2024-08-12,0
PPTA,2024-06-14,7.130000114440918,5.610000133514404,,1
TMDX,2024-07-03,154.13999938964844,133.00999450683594,,1
ARQT,2024-07-22,11.220000267028809,8.529999732971191,2024-08-14,0
GERN,2024-07-23,5.059999942779541,4.159999847412109,2024-08-08,0
DHC,2024-07-29,3.5,2.9600000381469727,2024-08-01,0
DAKT,2024-08-20,15.720000267028809,12.15999984741211,2024-09-04,0
DAKT,2024-08-21,15.720000267028809,12.15999984741211,2024-09-04,0
OFIX,2024-08-21,17.6200008392334,14.140000343322754,,1
DYN,2024-08-22,47.45000076293945,36.209999084472656,2024-11-12,0
NSSC,2024-08-22,58.09000015258789,46.77000045776367,,1
DYN,2024-08-29,47.45000076293945,36.209999084472656,2024-11-12,0
INSM,2024-08-29,80.52999877929688,67.22000122070312,2024-10-31,0
INSM,2024-08-30,80.52999877929688,67.22000122070312,2024-10-31,0
POWL,2024-08-30,66.163330078125,47.66666793823242,,1
TRUP,2024-09-06,48.849998474121094,33.84000015258789,,1
COGT,2024-09-11,12.140000343322754,8.470000267028809,2024-11-12,0
CHWY,2024-09-26,33.18000030517578,25.191999435424805,2024-12-04,0
CHWY,2024-09-27,33.18000030517578,25.191999435424805,2024-12-04,0
MPT,2024-10-01,6.550000190734863,4.559999942779541,,1
AMRC,2024-10-02,39.68000030517578,28.190000534057617,2024-11-07,0
BVS,2024-10-03,12.40999984741211,9.119999885559082,2024-11-05,0
BVS,2024-10-04,12.40999984741211,9.539999961853027,2024-11-05,0
LUMN,2024-10-04,7.579999923706055,5.150000095367432,,1
MOD,2024-10-10,138.99000549316406,109.5999984741211,,1
LMB,2024-10-21,86.99700164794922,71.41000366210938,,1
REPL,2024-10-28,12.859999656677246,9.9399995803833,,1
EWTX,2024-10-30,36.65999984741211,26.110000610351562,2024-11-07,0
REPL,2024-10-30,12.640000343322754,9.9399995803833,,1
ZVRA,2024-11-29,9.760000228881836,7.840000152587891,,1
PHR,2025-01-16,28.8799991607666,23.18000030517578,,1
PHR,2025-01-17,28.8799991607666,23.18000030517578,,1
OPTU,2025-02-05,3.130000114440918,2.299999952316284,,1
ROKU,2025-02-06,86.41000366210938,74.0999984741211,,1
PTCT,2025-02-21,52.95000076293945,44.439998626708984,,1
WGS,2025-04-17,107.9800033569336,72.18000030517578,,1
AHR,2025-04-23,31.608999252319336,26.479999542236328,2025-05-08,0
APEI,2025-04-25,25.049999237060547,20.75,2025-05-12,0
AKBA,2025-07-17,4.078999996185303,3.4800000190734863,2025-08-07,0
CSTM,2025-08-21,15.430000305175781,13.039999961853027,2025-10-29,0
AAP,2025-08-28,62.36000061035156,51.84000015258789,2025-10-30,0
AAP,2025-08-29,62.36000061035156,51.959999084472656,2025-10-30,0
KOPN,2025-09-03,2.2899999618530273,1.6799999475479126,,1
ARRY,2025-10-20,10.369999885559082,7.619999885559082,2025-11-05,0
ARRY,2025-10-21,10.369999885559082,7.639999866485596,2025-11-05,0
HL,2025-10-24,15.4399995803833,11.479999542236328,,1
WULF,2025-10-27,16.190000534057617,11.25,,1
OUST,2025-10-30,41.650001525878906,27.530000686645508,,1
OUST,2025-10-31,41.650001525878906,27.530000686645508,,1
ENVA,2025-11-19,133.3300018310547,111.93000030517578,2026-01-27,0
FIVE,2025-12-01,167.9199981689453,143.02000427246094,2025-12-03,0
AU,2025-12-04,89.19000244140625,67.70999908447266,2026-02-19,0
ATRO,2025-12-05,55.290000915527344,44.90999984741211,2026-02-24,0
PARR,2025-12-05,48.400001525878906,40.0,,1
WFRD,2025-12-05,78.04000091552734,68.48999786376953,,1
HROW,2025-12-18,51.29999923706055,36.95000076293945,,1
ALGT,2025-12-23,93.0,68.54000091552734,2026-02-04,0
ATRO,2025-12-24,56.720001220703125,49.5099983215332,2026-02-24,0
CRNX,2025-12-24,50.97999954223633,43.040000915527344,2026-02-26,0
SSP,2025-12-24,4.980000019073486,3.0977439880371094,,1
BELFB,2025-12-26,179.41000366210938,150.63999938964844,2026-02-17,0
CRNX,2025-12-26,50.97999954223633,43.040000915527344,2026-02-26,0
FSLR,2025-12-26,285.989990234375,249.0,2026-02-24,0
XMTR,2025-12-26,64.9800033569336,54.880001068115234,,1
ZYME,2025-12-26,27.940000534057617,24.790000915527344,,1
ALGT,2025-12-29,93.0,73.69999694824219,2026-02-04,0
CECO,2025-12-29,63.97999954223633,50.59000015258789,2026-02-24,0
GCT,2025-12-29,43.849998474121094,36.75,2026-02-26,0
SEPN,2025-12-29,30.5,24.6299991607666,,1
ZYME,2025-12-29,27.940000534057617,24.790000915527344,,1
GCT,2025-12-30,43.849998474121094,37.4900016784668,2026-02-26,0
LQDA,2025-12-30,36.40999984741211,30.5,,1
RAPP,2025-12-30,32.36000061035156,26.920000076293945,,1
ATRO,2025-12-31,56.720001220703125,49.5099983215332,2026-02-24,0
CECO,2025-12-31,63.97999954223633,51.0,2026-02-24,0
DOCN,2025-12-31,51.900001525878906,43.810001373291016,2026-02-24,0
FSLR,2025-12-31,285.989990234375,249.0,2026-02-24,0
GCT,2025-12-31,43.849998474121094,37.4900016784668,2026-02-26,0
NUVB,2025-12-31,9.75,7.550000190734863,,1
MXL,2026-01-27,20.81999969482422,17.40999984741211,,1
LINC,2026-01-28,28.219999313354492,22.670000076293945,,1
TXG,2026-01-28,23.559999465942383,15.90999984741211,,1
MBX,2026-01-29,44.88999938964844,27.84000015258789,,1
SRRK,2026-02-10,49.81999969482422,42.099998474121094,,1
CYTK,2026-02-18,67.88999938964844,60.04999923706055,2026-02-24,0
GPRE,2026-02-18,15.640000343322754,11.020000457763672,,1
SMTC,2026-02-19,92.5,76.01000213623047,,1
BTSG,2026-02-20,41.400001525878906,36.869998931884766,2026-02-27,0
VSAT,2026-02-23,49.68000030517578,36.709999084472656,,1
BTSG,2026-02-25,41.400001525878906,36.869998931884766,2026-02-27,0
GPRE,2026-02-25,15.640000343322754,11.020000457763672,,1
SRRK,2026-02-25,49.81999969482422,42.869998931884766,,1
TNGX,2026-02-25,13.600000381469727,11.0,,1
VSCO,2026-02-25,64.95999908447266,53.27000045776367,,1
ADCT,2026-03-17,4.980000019073486,3.940000057220459,2026-05-07,0
WLK,2026-03-26,116.45999908447266,97.9000015258789,,1
WLK,2026-03-27,116.45999908447266,99.33999633789062,,1
BWXT,2026-04-07,222.2899932861328,188.83999633789062,2026-05-04,0
SNDX,2026-04-10,25.59000015258789,22.399999618530273,,1
LRMR,2026-04-17,5.349999904632568,4.210000038146973,,1
LRMR,2026-04-20,5.349999904632568,4.210000038146973,,1
TRDA,2026-04-20,14.489999771118164,10.96500015258789,,1
PTGX,2026-04-21,107.83999633789062,95.4000015258789,,1
SLDB,2026-04-21,8.866000175476074,6.400000095367432,,1
STOK,2026-04-22,37.349998474121094,30.656999588012695,,1
SLDB,2026-04-23,8.866000175476074,6.400000095367432,,1
